"device"	"time_data"	"inst_pw_data"	"total_power_data"
"device"	"time_data"	"inst_pw_data"	"total_power_data"
device_1	0.0	0.0	0.038
device_1	0.1713279167811076	40.71743	0.038
device_1	0.34270456234614055	38.609487	0.038
device_1	0.5136973937352498	36.169113	0.038
device_1	0.6847652355829874	36.038871	0.038
device_1	0.8559698263804117	41.137766	0.038
device_1	1.0271494189898174	39.137182	0.039
device_1	1.1975157062212627	37.958738	0.039
device_1	1.368186362584432	37.489273	0.039
device_1	1.5386537631352741	37.586806	0.039
device_1	1.709134550889333	37.653147	0.039
device_1	1.8800208608309428	38.71955	0.039
device_1	2.051081057389577	38.40532	0.039
device_1	2.2218811392784117	38.217112	0.039
device_1	2.3931440552075705	37.839311	0.039
device_1	2.562481375535329	39.309035	0.04
device_1	2.733299978574117	38.32856	0.04
device_1	2.904306507110596	38.661584	0.04
device_1	3.07548995812734	37.608041	0.04
device_1	3.246161643664042	39.433936	0.04
device_1	3.4172779321670532	37.89187	0.04
device_1	3.588335132598877	39.979436	0.04
device_1	3.759339439868927	39.385268	0.04
device_1	3.9294122219085694	39.374651	0.04
device_1	4.100269329547882	39.650698	0.041
device_1	4.271080780029297	38.56049	0.041
device_1	4.442272738615672	38.466649	0.041
device_1	4.613498600323995	38.811675	0.041
device_1	4.784638384977977	43.330515	0.041
device_1	4.955629821618398	38.424115	0.041
device_1	5.126273492972056	39.753507	0.041
device_1	5.295430135726929	37.231097	0.041
device_1	5.466449054082235	37.19364	0.041
device_1	5.6366880695025126	42.315022	0.042
device_1	1484.1948710560798	20.19372	0.038
device_1	14319.393485426903	0.0	0.134
device_1	14319.566513987382	8.706105	0.134
device_1	14319.737638628483	8.701423	0.134
device_1	14319.908827793597	8.693642	0.134
device_1	14320.079947030545	8.763412	0.134
device_1	14320.251365081469	8.772315	0.134
device_1	14320.422272022564	8.687707	0.134
device_1	14320.592899692057	8.716591	0.134
device_1	14320.76227253278	8.71514	0.134
device_1	14320.93303617239	8.735451	0.134
